,,,,,,,min,min,min,,max,max ,max,,avg,avg,avg,,,,,,,,,,,,,
18,4,36,37,40,"(14057, 11)",,,,,,,,,,,,,,,,,,,,,,,,,
18,5,31,33,40,"(20123, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
18,6,46,55,68,"(35384, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
18,8,35,45,51,"(10786, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
18,9,51,63,66,"(28835, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
18,10,36,38,47,"(8622, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
18,11,40,48,56,"(58525, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
18,12,39,43,47,"(12768, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
18,13,22,41,43,"(20312, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
18,14,43,45,45,"(5963, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
18,15,29,42,50,"(5490, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
18,16,31,47,52,"(26739, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
18,17,31,42,57,"(48203, 8)",,,,,,,,,,,,,,,,index,min1,min2,min3,max1,max2,max3,avg1,avg2,avg3
18,18,19,47,71,"(268, 16)",,,,,,,,,,,,,,,,4,26,28,31,45,51,51,35.5,39.5,41
19,1,39,40,43,"(26611, 8)",,14,28,38,,59,60,69,,38.72222222,46.11111111,52.44444444,,,,5,14,37,39,41,56,76,28.66666667,45.66666667,60.33333333
19,2,53,53,53,"(34600, 4)",,,,,,,,,,,,,,,,6,10,19,33,41,51,62,25.25,35.75,48.5
19,3,39,45,52,"(6924, 16)",,,,,,,,,,,,,,,,7,17,24,38,36,47,61,27.8,38.8,51.4
19,4,42,60,69,"(15741, 4)",,,,,,,,,,,,,,,,8,19,32,38,46,57,71,29.66666667,41,50.5
19,5,29,45,63,"(15866, 8)",,,,,,,,,,,,,,,,9,23,36,41,39,49,59,33.42857143,40.85714286,48.28571429
19,6,14,28,52,"(11105, 16)",,,,,,,,,,,,,,,,10,16,28,38,46,52,63,31.375,43.125,51.5
19,7,59,60,61,"(58525, 4)",,,,,,,,,,,,,,,,11,13,27,35,38,46,52,28.3,37.3,44.6
19,8,40,45,46,"(16151, 12)",,,,,,,,,,,,,,,,12,16,27,31,47,70,78,32.8,44.9,51.7
19,9,28,43,57,"(4106, 12)",,,,,,,,,,,,,,,,13,13,26,33,43,49,56,30.81818182,38.81818182,44.63636364
19,10,57,58,61,"(2337, 4)",,,,,,,,,,,,,,,,14,16,23,39,52,54,60,33.69230769,41.07692308,49.38461538
19,11,27,38,47,"(38403, 12)",,,,,,,,,,,,,,,,15,15,29,34,43,50,54,28.78571429,39.21428571,44.85714286
19,12,45,47,47,"(4140, 24)",,,,,,,,,,,,,,,,16,19,29,36,43,61,68,33.66666667,43.26666667,49.4
19,14,39,43,44,"(25929, 24)",,,,,,,,,,,,,,,,17,11,23,23,71,91,91,33.25,43.25,50.5625
19,15,44,44,50,"(12893, 8)",,,,,,,,,,,,,,,,18,8,31,40,51,63,71,32.94117647,43.29411765,51.82352941
19,16,18,32,38,"(22213, 8)",,,,,,,,,,,,,,,,19,14,28,38,59,60,69,38.72222222,46.11111111,52.44444444
19,17,46,46,51,"(22645, 12)",,,,,,,,,,,,,,,,20,17,27,37,72,78,79,38.66666667,45.77777778,50.11111111
19,18,43,55,58,"(12823, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
19,19,35,48,52,"(8772, 19)",,,,,,,,,,,,,,,,,,,,,,,,,
20,2,18,41,57,"(36379, 16)",,17,27,37,,72,78,79,,38.66666667,45.77777778,50.11111111,,,,,,,,,,,,,
20,3,44,45,49,"(9226, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
20,4,23,39,50,"(33947, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
20,5,72,78,79,"(35384, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
20,6,38,45,49,"(7265, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
20,7,38,39,43,"(20506, 7)",,,,,,,,,,,,,,,,,,,,,,,,,
20,8,53,55,56,"(28662, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
20,9,33,42,49,"(35666, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
20,10,34,42,46,"(12144, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
20,11,26,36,39,"(10236, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
20,12,28,43,52,"(41540, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
20,13,34,40,41,"(18235, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
20,14,17,27,37,"(5928, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
20,15,51,52,54,"(18405, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
20,16,49,50,50,"(49890, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
20,17,41,43,43,"(12768, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
20,19,56,56,56,"(16778, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
20,20,41,51,52,"(14671, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,28,31,,45,51,51,,35.5,39.5,41,,,,,,,,,,,,,,,,,,,
5,14,37,39,,41,56,76,,28.66666667,45.66666667,60.33333333,,,,,,,,,,,,,,,,,,,
6,10,19,33,,41,51,62,,25.25,35.75,48.5,,,,,,,,,,,,,,,,,,,
7,17,24,38,,36,47,61,,27.8,38.8,51.4,,,,,,,,,,,,,,,,,,,
8,19,32,38,,46,57,71,,29.66666667,41,50.5,,,,,,,,,,,,,,,,,,,
9,23,36,41,,39,49,59,,33.42857143,40.85714286,48.28571429,,,,,,,,,,,,,,,,,,,
10,16,28,38,,46,52,63,,31.375,43.125,51.5,,,,,,,,,,,,,,,,,,,
11,13,27,35,,38,46,52,,28.3,37.3,44.6,,,,,,,,,,,,,,,,,,,
12,16,27,31,,47,70,78,,32.8,44.9,51.7,,,,,,,,,,,,,,,,,,,
13,13,26,33,,43,49,56,,30.81818182,38.81818182,44.63636364,,,,,,,,,,,,,,,,,,,
14,16,23,39,,52,54,60,,33.69230769,41.07692308,49.38461538,,,,,,,,,,,,,,,,,,,
15,15,29,34,,43,50,54,,28.78571429,39.21428571,44.85714286,,,,,,,,,,,,,,,,,,,
16,19,29,36,,43,61,68,,33.66666667,43.26666667,49.4,,,,,,,,,,,,,,,,,,,
17,11,23,23,,71,91,91,,33.25,43.25,50.5625,,,,,,,,,,,,,,,,,,,
18,8,31,40,,51,63,71,,32.94117647,43.29411765,51.82352941,,,,,,,,,,,,,,,,,,,
19,14,28,38,,59,60,69,,38.72222222,46.11111111,52.44444444,,,,,,,,,,,,,,,,,,,
20,17,27,37,,72,78,79,,38.66666667,45.77777778,50.11111111,,,,,,,,,,,,,,,,,,,
