0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,0.79311,,,,,,,0.60865,0.55837,,,,0.54773,,
0.61843,,,,,,0.73802,,,,,,0.5837100000000001,,,,
,,0.82419,,0.67081,,,,,,,0.5957,,,,,
,,,,,,,,,,,,,,,,
0.6741,,,,,,,,,,,,,,,,
,,,,,,,0.6421600000000001,,,,,0.6079399999999999,,,,
,,,,,,,0.65835,,,,,,,,,0.65095
,,,0.56285,,,,,,,,0.63677,,0.58305,0.64649,,
,,,,,,,,,,,,,0.60328,,,
,,,,,,,,,,,,,,,0.63855,
,,,,0.8791899999999999,,,,,,,,,,0.68874,,
,,,0.59054,,,,,,,0.63876,,,,,,
,,,,,,,,,,,,,,,0.64594,
,,,,,,,,,0.68574,0.64252,,0.6914600000000001,,,,
,,,,,,,,,,,,,,,0.6403800000000001,
,,,,,,,,,,,,,0.6343300000000001,,,
,0.50071,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,0.8338899999999999,,,,,,,,,,
,0.52318,,,,,,0.72615,,,,,0.69457,,,0.61898,
,,0.6637,,,,,0.71838,,,,0.67747,,,,,
,,,0.55576,,,,,,,,,,,,,
,,,,,,,,,,,,0.6996,,,0.62405,
,0.49618,,,,,,,,,,,,0.60977,,,0.62674
,,0.68309,,,,,,,,,,,,0.6852699999999999,0.6263,
,,,0.57075,0.80905,,,,,,,,,,,,
,,,,,,,,,,0.64947,,,0.61927,,,
,,,,,,,,,,,,,,,,
,,,,,0.83229,,,,,,,,,0.68085,,
,,,0.55408,,,0.82325,,,,,,,,,0.61425,
,,,,,,,0.71925,,,,,,0.6036100000000001,,,
,,,,,,,,,,,,,,0.68304,0.61879,0.63247
,,,,,,,,,,,,,0.61144,,,
,,,,0.85057,,,,,,,,,,,,
,,,,,,,,0.76183,0.68199,,,,,,,0.66128
,,,,,,,,,,,,,,0.69079,,
,,,,,,,,,0.6824100000000001,,,0.69275,0.61579,,,
,,0.65336,,,,,,,,,,,,,0.59814,
0.5371,,,,,,,,,,,0.43288000000000004,,,,,
0.446,,,,,0.44506,,,,,,,0.40821999999999997,,,,0.41933000000000004
,,,,,0.4203,,,,,,,,,,,
,,,,0.3531,,,,,,,,,,,,
,0.47916000000000003,,,,,,,,,,0.34518000000000004,,0.32963000000000003,,,
,,,,0.33754,,,0.35796,,,,,,,,,
,,,0.40457,,,,,,0.37951999999999997,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.30879,,,,,
,,,,0.3156,,,,,,,0.29894,,0.28058,,,
,0.42308,,,,,,,,,,,,,,,
,,0.44968,0.37122,,,,,,,,,,,,,
,,,0.36367,,,,,,,,,,0.26857,,,
,,,,0.29441,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,0.34348,,,,,,,,0.24078000000000002,,
0.2962,0.3659,,0.32697,,,,,,,,,,,,,
0.2921,,0.39575,,,0.30494,,,0.25485,,,,,,,,
,,,,,,,,,,,,0.27637,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0.23340999999999998,,,0.23209000000000002,0.25163,,,,0.24758000000000002
,0.30599,,,,,,,,,,,,,,,
,,,,,0.25204,,,,,,,,,,,
,,,,0.21865,,,,,,,,0.22791,,,,
,,,,,,0.27501,,,,,,0.22263000000000002,,,,
0.22321,,,,,,,,0.20201,,,,,,,,
,,0.29974,,,,,,,,0.24938000000000002,,,,,,
,,,,,0.24120999999999998,,0.22566999999999998,0.19992000000000001,,,,,,,0.15967,
,,,,,,,,,,,,,,,,
,,,,,0.23469,,0.21999000000000002,,,,,,,,,
,,,,,,,,,,,0.18119000000000002,,,,,
,,,,,,,,,,,,,,,,
,,,0.19716,,,0.24649000000000001,0.20636,,,,,,,,,0.18413
,,,,,,,,,,,,,,,,
,,,0.18275999999999998,,,,,,,,,,,0.13543,,0.17235
,,,,,,,,0.15928,,,,,,,,
,,,0.16202,,,,,0.15320999999999999,,,,,,,,
,,,,0.15145,,0.20131,,,0.18489,,,,,,,0.1468
,,,,,,,,,,,,,,,0.10983,
,,,,,,,,,,,,,,,,0.12125
,,,,,,,,,,0.16976,0.12559,,,,0.1017,
,0.15367,,,,,,,,,,,0.12455,,,,
,,,0.12732000000000002,,,,,,,0.15448,,,,0.09134500000000001,,
,,,,,,,,,,0.15300999999999998,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.10585,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.093925,,,,
,,,,,,,,,,,,,,,,0.06980700000000001
,,,,,0.11358,,,,,,,,,,,
,,,0.09663300000000001,0.09464199999999999,,,,,,,,,,,,
,,,,,,,,,,,,,,0.05876,,
,,,,,,,,0.09973,,,,,,,,
,,,,,,,,,0.12305,,,,,,,
,0.090295,,,0.084091,,0.10645,,,,0.1104,,,,,,
,,,,0.08031,,,,,,,,,,0.047844,,
,0.074772,0.089073,,0.075539,0.088616,,,0.08125399999999999,,0.098357,0.062877,,,,,
,,,,,,,,,,,,,,,,
,,0.076295,,,,,,,,,,,0.039824,,0.040471,
,,,,,,,,,,,,,,0.034181,,
,,,,,,,,,,,,,,,,
,,,,,,,,0.064041,,,,,,,,
,,,,,,,,,,,,,,0.021347,,0.015406
,,0.055153999999999995,0.041568,,,,,,,,,,,,,
,0.048945999999999996,,,,,,,,,,,0.038114999999999996,,,,
,,,,,,,,,,0.074459,,,,0.019207,,
,,,,,,,,,,,,,,,,0.0067691999999999995
,0.04463,,,,,,,,,,,,,0.015037,,
,,,,,0.060079999999999995,,,0.055274000000000004,,0.071661,0.034836,,,,,
,,,,,,0.06588,,0.053602,,,,,,,,
,,,,,,,,,,,0.033308,,,,0.01929,
,0.040007,,,0.04125,,,,,,0.066428,,,,,,
,,,,0.0519,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.42253999999999997,,,,,,0.46337,,,,,0.33363000000000004,,,,,
0.45382,,,,,,,,0.50855,,,,,,,,
,,,,,,0.59906,,,,,,,,,,
,,,0.69819,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,0.64494,,,,,,,,0.50634,
,,,,,,,,,,,,0.5542600000000001,,,,
,,,,,,,,,,,,,0.60763,,,
,,,,,,,,,,,0.64866,0.6301399999999999,,,,
,0.93306,,,,,,,,,,,,,,,
,,0.85761,,,,,0.77207,,,,,,,,0.69355,0.73558
,0.5837899999999999,,,0.82675,,,,,,0.68105,,,,,,
,,,,,0.83939,,,,,,0.72917,,,,,
,,,,,,,,,,,,,,,,
,,0.72145,,,,0.8291700000000001,,,,,,0.7335699999999999,,,,
,,,,,,,,,,,,,,,0.73059,0.7743899999999999
,,,,,,,,,,,,,0.79456,,,
,,,,,,,,,,,,,,0.76668,,
,,,,0.75668,,,,0.77754,,,0.80437,,,,0.73964,
,,,,,,,0.77966,,0.79322,,,,,,,
,,,,0.6388699999999999,0.6716,,,,,,,,,,,
,0.44213,,,,,,0.73149,,,,0.76457,,,,,
,,0.71944,,,,,,,,,,,,,,
,0.4602,0.71194,0.5536399999999999,,,,,,,,,0.66862,,,,
,,,,,,,,,,,0.74674,,,,0.6422,
,,,,,,0.63846,,,,0.69163,,,,,,
,,,,,,,0.73961,,,,,0.69107,,,,
,0.51151,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,0.7377100000000001,,,,,,
,,,,,,,,,,,,0.7315,,,,
,0.53446,0.75907,,,,,0.7569899999999999,,,,,,,0.72769,,
,,,,,,,,0.79756,,0.75207,,,,0.7387699999999999,,
,,,0.60125,,,,,,0.8061699999999999,0.7612899999999999,,,,,,
,,0.77484,,,,,0.75361,,,,0.80113,,,0.7330800000000001,,
,,,,,,0.68637,,,,0.74163,,,,,,
,,,,0.60607,,0.69793,,,,,,,,,,
,,,,,,0.70114,,,,0.74447,,0.72458,,,,
,,,,,,,,,,,,,,,,
,0.52284,,0.57618,,,0.68181,,0.74761,0.75066,,,,,,,
,,,,,,,,,,,,,0.75055,0.71631,,
,,,,,,,,,,,,,,,,0.7620600000000001
,,,,0.5754,,,,,,,,,,,,
,,,,,,,0.722,,,,0.75115,,,,0.68798,
,,,,,,,,,,,,,,,,
,,,,0.5858,,,,,,,,0.68471,,,,
0.56486,,,,,,,,,0.6968,,0.7044600000000001,,,,0.6460199999999999,
,,,,0.5978600000000001,,,,,,,,0.6693600000000001,,,,
,,,,,,,,,,,,,,,,
,,0.7616,,0.59765,0.62407,,,,0.69187,,,,,,,
