"V1" "V2" "V3" "V4"
37.821 46.156 41.96 41.264
37.064 45.377 41.354 40.379
36.472 44.728 40.857 39.567
36.057 44.222 40.48 38.84
35.827 43.868 40.228 38.212
35.788 43.673 40.108 37.693
35.943 43.641 40.122 37.292
36.288 43.773 40.27 37.016
36.82 44.067 40.549 36.87
37.531 44.517 40.955 36.855
38.408 45.117 41.482 36.974
39.438 45.856 42.119 37.222
40.603 46.721 42.856 37.598
41.883 47.697 43.68 38.093
43.257 48.767 44.576 38.7
44.702 49.911 45.527 39.407
46.192 51.111 46.518 40.203
47.702 52.344 47.53 41.074
49.206 53.589 48.546 42.004
50.677 54.824 49.546 42.977
52.091 56.026 50.513 43.975
53.423 57.173 51.43 44.981
54.65 58.247 52.28 45.977
55.75 59.226 53.048 46.944
56.705 60.093 53.719 47.865
57.497 60.832 54.281 48.723
58.112 61.429 54.724 49.502
58.54 61.872 55.038 50.186
58.772 62.152 55.218 50.762
58.804 62.264 55.26 51.219
58.634 62.202 55.161 51.547
58.263 61.966 54.921 51.738
57.696 61.558 54.544 51.786
56.942 60.982 54.033 51.689
56.01 60.246 53.397 51.446
54.915 59.359 52.644 51.057
53.672 58.333 51.784 50.528
52.299 57.182 50.831 49.865
50.816 55.923 49.797 49.075
49.245 54.573 48.698 48.171
47.608 53.151 47.549 47.163
45.928 51.676 46.368 46.067
44.229 50.171 45.171 44.899
42.535 48.657 43.975 43.674
40.87 47.153 42.798 42.411
39.257 45.683 41.656 41.129
37.717 44.265 40.565 39.845
36.271 42.92 39.539 38.58
34.938 41.666 38.594 37.35
33.735 40.521 37.742 36.175
32.678 39.498 36.993 35.072
31.778 38.612 36.358 34.055
31.047 37.874 35.844 33.14
30.491 37.292 35.457 32.339
30.116 36.873 35.201 31.663
29.924 36.622 35.077 31.122
29.913 36.539 35.085 30.722
30.082 36.624 35.223 30.466
30.423 36.872 35.487 30.359
30.927 37.277 35.87 30.398
31.585 37.832 36.364 30.582
32.382 38.525 36.96 30.906
33.302 39.343 37.647 31.363
34.329 40.271 38.411 31.943
35.444 41.293 39.24 32.634
36.626 42.39 40.118 33.424
37.854 43.545 41.031 34.299
39.107 44.736 41.963 35.242
40.362 45.944 42.897 36.236
41.597 47.147 43.817 37.262
42.791 48.326 44.709 38.304
43.922 49.459 45.556 39.342
44.97 50.527 46.345 40.358
45.917 51.512 47.061 41.333
46.745 52.397 47.694 42.25
47.439 53.166 48.231 43.093
47.987 53.805 48.664 43.847
48.378 54.303 48.985 44.498
48.603 54.65 49.188 45.035
48.657 54.841 49.271 45.448
48.539 54.869 49.23 45.729
48.248 54.735 49.067 45.874
47.787 54.439 48.784 45.88
47.164 53.986 48.386 45.747
46.387 53.381 47.879 45.477
45.468 52.636 47.272 45.075
44.422 51.76 46.574 44.55
43.265 50.77 45.798 43.91
42.017 49.681 44.958 43.167
40.698 48.512 44.066 42.337
39.33 47.283 43.14 41.434
37.938 46.015 42.196 40.477
36.545 44.731 41.25 39.484
35.176 43.453 40.319 38.474
33.855 42.205 39.421 37.468
32.607 41.01 38.571 36.486
31.455 39.889 37.787 35.548
30.421 38.865 37.082 34.674
29.526 37.958 36.472 33.883
28.787 37.186 35.968 33.192
28.221 36.566 35.581 32.617
27.841 36.111 35.319 32.173
27.657 35.833 35.191 31.872
27.676 35.741 35.2 31.722
27.902 35.839 35.349 31.731
28.335 36.131 35.638 31.903
28.971 36.614 36.064 32.239
29.802 37.285 36.623 32.738
30.82 38.135 37.307 33.395
32.008 39.154 38.108 34.202
33.351 40.328 39.012 35.15
34.828 41.639 40.008 36.224
36.416 43.067 41.08 37.41
38.089 44.591 42.211 38.689
39.822 46.186 43.382 40.042
41.585 47.826 44.576 41.447
43.349 49.485 45.773 42.883
45.085 51.134 46.952 44.325
46.762 52.747 48.095 45.749
48.352 54.294 49.181 47.131
49.827 55.75 50.192 48.449
51.161 57.088 51.111 49.679
52.329 58.284 51.921 50.799
53.31 59.316 52.608 51.79
54.086 60.165 53.159 52.634
54.642 60.815 53.565 53.316
54.968 61.252 53.818 53.823
55.055 61.467 53.912 54.145
54.901 61.455 53.846 54.275
54.508 61.213 53.62 54.211
53.88 60.744 53.237 53.952
53.028 60.055 52.703 53.502
51.965 59.155 52.027 52.868
50.709 58.06 51.222 52.061
49.281 56.786 50.299 51.093
47.706 55.355 49.276 49.983
46.01 53.791 48.171 48.747
44.222 52.12 47.002 47.409
42.375 50.37 45.791 45.991
40.499 48.573 44.559 44.518
38.627 46.758 43.327 43.016
36.792 44.958 42.117 41.512
35.026 43.202 40.951 40.031
33.358 41.521 39.849 38.6
31.818 39.945 38.83 37.244
30.431 38.498 37.912 35.986
29.221 37.206 37.111 34.847
28.206 36.088 36.438 33.848
27.403 35.164 35.906 33.004
26.823 34.445 35.521 32.329
26.473 33.942 35.289 31.832
26.356 33.659 35.211 31.521
26.469 33.598 35.286 31.398
26.807 33.754 35.51 31.461
27.358 34.118 35.874 31.706
28.108 34.68 36.37 32.126
29.036 35.421 36.983 32.707
30.121 36.323 37.699 33.435
31.337 37.361 38.501 34.293
32.655 38.511 39.37 35.26
34.047 39.744 40.285 36.313
35.479 41.03 41.226 37.429
36.922 42.34 42.172 38.582
38.341 43.643 43.101 39.748
39.707 44.909 43.993 40.901
40.99 46.11 44.828 42.015
42.161 47.217 45.588 43.068
43.194 48.206 46.257 44.037
44.069 49.055 46.821 44.901
44.765 49.746 47.267 45.644
45.268 50.262 47.586 46.251
45.567 50.594 47.772 46.71
45.656 50.734 47.821 47.013
45.533 50.679 47.732 47.154
45.2 50.431 47.508 47.133
44.664 49.996 47.154 46.951
43.936 49.382 46.678 46.614
43.031 48.603 46.089 46.13
41.966 47.676 45.399 45.511
40.764 46.62 44.624 44.772
39.448 45.456 43.777 43.927
38.044 44.208 42.877 42.996
36.58 42.902 41.94 41.997
35.083 41.562 40.984 40.951
33.582 40.215 40.027 39.879
32.105 38.887 39.086 38.802
30.68 37.601 38.179 37.739
29.333 36.382 37.321 36.711
28.087 35.251 36.526 35.734
26.964 34.227 35.807 34.828
25.983 33.328 35.176 34.005
25.162 32.568 34.641 33.278
24.512 31.958 34.21 32.659
24.044 31.507 33.888 32.155
23.764 31.22 33.678 31.773
23.674 31.1 33.582 31.515
23.775 31.145 33.599 31.383
24.064 31.353 33.726 31.374
24.532 31.717 33.959 31.487
25.171 32.229 34.292 31.715
25.97 32.879 34.717 32.051
26.912 33.652 35.226 32.486
27.982 34.535 35.808 33.011
29.162 35.513 36.455 33.614
30.433 36.567 37.153 34.283
31.774 37.682 37.893 35.006
33.164 38.838 38.66 35.768
34.582 40.018 39.445 36.559
36.008 41.203 40.234 37.363
37.42 42.377 41.016 38.169
38.8 43.521 41.78 38.964
40.127 44.621 42.514 39.737
41.384 45.66 43.21 40.477
42.556 46.625 43.858 41.174
43.627 47.504 44.449 41.819
44.585 48.286 44.977 42.405
45.419 48.962 45.435 42.925
46.12 49.524 45.817 43.373
46.682 49.967 46.12 43.745
47.1 50.287 46.341 44.038
47.372 50.481 46.479 44.251
47.496 50.551 46.532 44.383
47.476 50.496 46.501 44.434
47.315 50.321 46.389 44.405
47.018 50.031 46.198 44.299
46.593 49.632 45.932 44.121
46.049 49.131 45.597 43.873
45.397 48.539 45.197 43.561
44.648 47.867 44.741 43.191
43.817 47.124 44.235 42.769
42.916 46.326 43.687 42.302
41.963 45.483 43.108 41.798
40.971 44.611 42.505 41.264
39.958 43.724 41.889 40.709
38.94 42.836 41.27 40.14
37.933 41.962 40.657 39.566
36.954 41.117 40.061 38.996
36.019 40.313 39.492 38.436
35.142 39.566 38.959 37.896
34.339 38.886 38.471 37.383
33.622 38.288 38.037 36.905
33.004 37.78 37.664 36.467
32.496 37.373 37.361 36.077
32.107 37.074 37.132 35.739
31.845 36.891 36.983 35.46
31.714 36.828 36.917 35.242
31.72 36.889 36.939 35.09
31.863 37.074 37.048 35.005
32.144 37.384 37.245 34.989
32.561 37.817 37.529 35.044
33.108 38.367 37.898 35.167
33.779 39.03 38.346 35.358
34.567 39.798 38.87 35.614
35.46 40.661 39.461 35.933
36.447 41.609 40.114 36.309
37.515 42.629 40.819 36.738
38.647 43.708 41.565 37.214
39.828 44.83 42.344 37.73
41.041 45.982 43.142 38.279
42.267 47.145 43.949 38.853
43.488 48.304 44.752 39.442
44.685 49.441 45.539 40.039
45.84 50.54 46.297 40.634
46.933 51.583 47.015 41.217
47.948 52.555 47.679 41.78
48.867 53.44 48.28 42.312
49.675 54.223 48.806 42.804
50.357 54.893 49.249 43.248
50.901 55.436 49.599 43.635
51.296 55.844 49.85 43.958
51.533 56.108 49.997 44.209
51.608 56.223 50.035 44.382
51.515 56.186 49.963 44.473
51.255 55.995 49.78 44.478
50.829 55.653 49.487 44.394
50.241 55.162 49.088 44.22
49.5 54.529 48.589 43.957
48.614 53.764 47.995 43.607
47.596 52.878 47.317 43.173
46.461 51.885 46.564 42.661
45.227 50.799 45.748 42.076
43.912 49.639 44.883 41.429
42.538 48.423 43.983 40.727
41.125 47.172 43.062 39.983
39.699 45.907 42.138 39.208
38.282 44.65 41.225 38.416
36.898 43.423 40.34 37.62
35.572 42.248 39.499 36.834
34.327 41.146 38.717 36.075
33.185 40.136 38.01 35.356
32.167 39.24 37.39 34.692
31.292 38.473 36.87 34.097
30.577 37.851 36.461 33.586
30.036 37.387 36.171 33.168
29.682 37.092 36.007 32.857
29.523 36.973 35.975 32.662
29.564 37.035 36.077 32.589
29.807 37.281 36.312 32.645
30.251 37.708 36.681 32.834
30.892 38.312 37.177 33.157
31.721 39.086 37.795 33.613
32.727 40.02 38.527 34.198
33.896 41.101 39.362 34.909
35.211 42.313 40.287 35.736
36.651 43.638 41.289 36.671
38.195 45.057 42.353 37.7
39.819 46.547 43.462 38.812
41.499 48.088 44.6 39.989
43.206 49.654 45.749 41.216
44.916 51.222 46.89 42.475
46.6 52.767 48.008 43.747
48.233 54.267 49.083 45.012
49.789 55.697 50.1 46.253
51.244 57.036 51.043 47.45
52.574 58.263 51.897 48.583
53.759 59.36 52.65 49.637
54.781 60.309 53.29 50.594
55.625 61.097 53.808 51.439
56.278 61.712 54.197 52.159
56.732 62.145 54.451 52.743
56.98 62.392 54.568 53.183
57.021 62.448 54.547 53.472
56.855 62.316 54.39 53.606
56.489 61.998 54.101 53.584
55.93 61.501 53.687 53.409
55.191 60.837 53.156 53.084
54.287 60.017 52.518 52.618
53.235 59.058 51.787 52.019
52.057 57.978 50.977 51.302
50.775 56.796 50.102 50.48
49.415 55.537 49.181 49.571
48.004 54.222 48.231 48.593
46.568 52.879 47.271 47.567
45.136 51.532 46.319 46.514
43.737 50.207 45.394 45.456
42.398 48.931 44.514 44.416
41.148 47.728 43.698 43.416
40.011 46.625 42.963 42.478
39.011 45.643 42.324 41.623
38.172 44.803 41.794 40.871
37.51 44.125 41.387 40.24
37.044 43.624 41.113 39.746
36.784 43.314 40.979 39.402
36.742 43.205 40.991 39.221
36.92 43.303 41.153 39.208
37.322 43.61 41.463 39.371
37.943 44.125 41.92 39.709
38.777 44.844 42.518 40.222
39.812 45.758 43.251 40.903
41.035 46.853 44.106 41.745
42.426 48.114 45.073 42.736
43.962 49.521 46.134 43.86
45.62 51.05 47.274 45.1
47.371 52.676 48.473 46.435
49.185 54.371 49.712 47.842
51.03 56.104 50.968 49.297
52.873 57.843 52.22 50.773
54.68 59.556 53.444 52.243
56.417 61.208 54.619 53.679
58.052 62.768 55.721 55.052
59.551 64.201 56.728 56.335
60.883 65.475 57.621 57.501
62.021 66.562 58.379 58.523
62.938 67.433 58.986 59.378
63.61 68.063 59.424 60.043
64.019 68.43 59.683 60.5
64.148 68.516 59.75 60.732
63.987 68.306 59.618 60.726
63.528 67.791 59.281 60.472
62.768 66.964 58.739 59.964
61.709 65.825 57.992 59.201
60.357 64.378 57.044 58.184
58.723 62.63 55.903 56.919
56.822 60.595 54.578 55.415
54.673 58.29 53.083 53.686
52.299 55.736 51.432 51.749
49.724 52.96 49.645 49.623
46.979 49.99 47.741 47.331
44.094 46.858 45.74 44.899
41.102 43.598 43.667 42.355
38.037 40.247 41.545 39.727
34.935 36.843 39.398 37.045
31.83 33.424 37.252 34.342
28.758 30.029 35.13 31.647
25.751 26.695 33.057 28.992
28.435 29.874 35.099 26.251
30.15 31.672 36.317 27.306
32.007 33.62 37.64 28.488
33.99 35.701 39.055 29.787
36.083 37.896 40.549 31.191
38.266 40.18 42.106 32.685
40.516 42.53 43.709 34.254
42.81 44.92 45.341 35.88
45.124 47.323 46.982 37.544
47.432 49.711 48.614 39.228
49.707 52.058 50.216 40.911
